,AMZN,GME,GOOG,JPM,SPY,XOM
2006-03-15,1.845,3.3488,,25.997,92.8695,33.6233
2006-03-16,1.839,3.3749,,26.0601,93.0613,33.965
2006-03-17,1.8,3.4591,,26.1105,93.1393,33.6399
2006-03-20,1.812,3.4843,,26.1421,92.9896,33.425
2006-03-21,1.796,3.7873,,25.9844,92.4049,33.458
2006-03-22,1.8,3.8244,,26.5205,92.9682,33.6399
2006-03-23,1.784,3.8025,,26.5142,92.7756,33.7501
2006-03-24,1.773,3.9397,,26.552,92.8469,33.706
2006-03-27,1.763,3.9455,,26.5583,92.7115,33.7721
2006-03-28,1.785,3.9009,,26.2115,92.141,33.5848
2006-03-29,1.816,3.9556,,26.2871,92.7186,33.7666
2006-03-30,1.834,3.9556,,26.1925,92.5546,33.6784
2006-03-31,1.827,3.9674,,26.2619,92.576,33.5352
2006-04-03,1.807,3.9102,,26.4448,92.5047,33.6288
2006-04-04,1.839,4.0432,,26.8772,93.0965,34.0256
2006-04-05,1.867,4.0962,,27.0489,93.4174,34.2515
2006-04-06,1.926,4.1231,,26.8899,93.3176,34.2129
2006-04-07,1.855,4.1214,,26.5148,92.3692,33.7942
2006-04-10,1.831,4.0954,,26.6292,92.5118,34.1303
2006-04-11,1.803,3.954,,26.4575,91.7275,34.1633
2006-04-12,1.807,3.9649,,26.6419,91.8986,33.8658
2006-04-13,1.831,3.9439,,26.8263,91.7774,33.9209
2006-04-17,1.764,3.922,,26.7055,91.7417,34.1909
2006-04-18,1.814,3.9371,,27.087,93.1963,35.0119
2006-04-19,1.845,3.9615,,27.0997,93.3746,35.4307
2006-04-20,1.817,3.9994,,27.087,93.503,35.2213
2006-04-21,1.802,3.9548,,27.0234,93.5172,35.8164
2006-04-24,1.789,3.9354,,27.1379,93.3461,35.4913
2006-04-25,1.777,3.9388,,26.8454,92.961,35.2378
2006-04-26,1.789,3.9876,,27.1252,92.9824,34.7695
2006-04-27,1.787,3.9851,,27.9454,93.4317,34.3948
2006-04-28,1.761,3.9725,,28.8547,93.7454,34.7584
2006-05-01,1.73,4.0061,,28.4732,92.9824,34.9458
2006-05-02,1.719,4.0415,,28.931,93.6812,35.6346
2006-05-03,1.698,4.0373,,28.9055,93.3318,35.1386
2006-05-04,1.724,3.991,,29.0518,93.667,34.8852
2006-05-05,1.752,4.0583,,29.6622,94.4941,35.2654
2006-05-08,1.735,3.9952,,29.3125,94.38,35.1056
2006-05-09,1.742,4.0028,,29.2616,94.5654,35.2323
2006-05-10,1.708,3.906,,29.198,94.5155,35.3763
2006-05-11,1.677,3.7797,,28.7084,93.3746,35.1437
2006-05-12,1.636,3.699,,28.1807,92.1553,34.4681
2006-05-15,1.639,3.656,,28.3206,92.3407,34.3352
2006-05-16,1.638,3.7284,,28.1807,92.2052,34.313
2006-05-17,1.581,3.7537,,27.5003,90.4511,33.3273
2006-05-18,1.631,3.8193,,27.176,89.9947,33.1667
2006-05-19,1.697,3.7848,,27.1824,90.6293,33.4768
2006-05-22,1.741,3.6468,,27.1125,89.9377,33.6596
2006-05-23,1.688,3.6392,,26.8136,89.2531,33.4436
2006-05-24,1.759,3.539,,26.8009,89.9662,33.283
2006-05-25,1.782,3.6586,,27.246,91.0786,34.0694
2006-05-26,1.804,3.6678,,27.4876,91.5421,34.1026
2006-05-30,1.732,3.55,,26.9853,89.9163,33.3384
2006-05-31,1.731,3.6139,,27.1125,90.9217,33.7315
2006-06-01,1.754,3.6973,,27.7102,91.7916,33.8423
2006-06-02,1.738,3.6552,,27.8564,91.9842,34.1414
2006-06-05,1.675,3.4481,,27.3223,90.6436,33.2553
2006-06-06,1.67,3.5079,,26.9471,90.4226,33.4491
2006-06-07,1.689,3.4717,,26.8645,89.7452,32.5741
2006-06-08,1.677,3.4465,,26.9281,89.6667,32.9895
2006-06-09,1.689,3.4843,,26.7691,89.3815,32.563
2006-06-12,1.68,3.3749,,26.4512,88.4117,32.2529
2006-06-13,1.674,3.3253,,25.7708,87.3849,31.3724
2006-06-14,1.684,3.3985,,25.4148,88.0623,32.0093
2006-06-15,1.748,3.4717,,25.8153,89.9306,32.7403
2006-06-16,1.755,3.3185,,25.5356,89.2755,32.563
2006-06-19,1.754,3.1914,,25.402,88.5736,31.7822
2006-06-20,1.774,3.0871,,25.7454,88.8745,31.7822
2006-06-21,1.833,3.2335,,26.2032,89.5334,32.1532
2006-06-22,1.818,3.098,,26.1142,89.1394,32.1034
2006-06-23,1.828,3.1704,,25.987,89.1251,32.1754
